Balance;Reward;Num
39.0;1.0;38
18.0;1.0;56
100.0;1.0;156
18.0;1.0;174
11.0;1.0;185
24.0;1.0;209
58.0;1.0;267
21.0;1.0;288
14.0;1.0;302
22.0;1.0;324
24.0;1.0;348
15.0;1.0;363
24.0;1.0;387
25.0;1.0;412
34.0;1.0;446
27.0;1.0;473
41.0;1.0;514
32.0;1.0;546
44.0;1.0;590
60.0;1.0;650
47.0;1.0;697
37.0;1.0;734
104.0;1.0;838
125.0;1.0;963
109.0;1.0;1072
173.0;1.0;1245
168.0;1.0;1413
144.0;1.0;1557
182.0;1.0;1739
136.0;1.0;1875
151.0;1.0;2026
134.0;1.0;2160
154.0;1.0;2314
139.0;1.0;2453
123.0;1.0;2576
66.0;1.0;2642
66.0;1.0;2708
22.0;1.0;2730
9.0;1.0;2739
148.0;1.0;2887
135.0;1.0;3022
135.0;1.0;3157
193.0;1.0;3350
154.0;1.0;3504
210.0;1.0;3714
160.0;1.0;3874
191.0;1.0;4065
184.0;1.0;4249
194.0;1.0;4443
265.0;1.0;4708
157.0;1.0;4865
31.0;1.0;4896
130.0;1.0;5026
123.0;1.0;5149
200.0;1.0;5349
178.0;1.0;5527
171.0;1.0;5698
135.0;1.0;5833
152.0;1.0;5985
162.0;1.0;6147
177.0;1.0;6324
155.0;1.0;6479
162.0;1.0;6641
166.0;1.0;6807
149.0;1.0;6956
159.0;1.0;7115
156.0;1.0;7271
13.0;1.0;7284
13.0;1.0;7297
28.0;1.0;7325
60.0;1.0;7385
133.0;1.0;7518
116.0;1.0;7634
123.0;1.0;7757
20.0;1.0;7777
127.0;1.0;7904
151.0;1.0;8055
211.0;1.0;8266
179.0;1.0;8445
177.0;1.0;8622
212.0;1.0;8834
177.0;1.0;9011
171.0;1.0;9182
176.0;1.0;9358
65.0;1.0;9423
161.0;1.0;9584
127.0;1.0;9711
159.0;1.0;9870
